keys,en,cs,sk,de,es,fi,fr,nb,pl,sv,pt_BR,pt_PT,it,da,nl,ja,ko,tr,vi,id
ACHIEVEMENT_COLLECTION_NECKLACE_DESC,Unlock all {count} necklaces,Odemkni všech {count} řetízků,Odomkni všetkých {count} retiazok,Schalte alle {count} Ketten frei,Desbloquea los {count} collares,Avaa kaikki {count} kaulakorua,Débloque les {count} colliers,Lås opp alle {count} halskjedene,Odblokuj wszystkie {count} naszyjników,Lås upp alla {count} halsband,Desbloqueie todos os {count} colares,Desbloqueia todos os {count} colares,Sblocca tutte le {count} collane,Lås op for alle {count} halskæder,Ontgrendel alle {count} kettingen,ネックレスを{count}個すべてアンロックしよう,목걸이 {count}개를 모두 잠금 해제하세요,{count} kolyenin hepsini aç,Mở khóa tất cả {count} chiếc vòng cổ,Buka semua {count} kalung
ACHIEVEMENT_COLLECTION_FOOTWEAR_TITLE,Shoe collection,Sbírka bot,Zbierka topánok,Schuh-Sammlung,Colección de zapatos,Kenkäkokoelma,Collection de chaussures,Skosamling,Kolekcja butów,Skosamling,Coleção de calçados,Coleção de calçado,Collezione scarpe,Skosamling,Schoenencollectie,靴コレクション,신발 컬렉션,Ayakkabı koleksiyonu,Bộ sưu tập giày,Koleksi sepatu
ACHIEVEMENT_COLLECTION_FOOTWEAR_DESC,Unlock all {count} shoes,Odemkni všech {count} bot,Odomkni všetkých {count} topánok,Schalte alle {count} Schuhe frei,Desbloquea los {count} zapatos,Avaa kaikki {count} kengät,Débloque les {count} chaussures,Lås opp alle {count} skoene,Odblokuj wszystkie {count} butów,Lås upp alla {count} skor,Desbloqueie todos os {count} calçados,Desbloqueia todos os {count} pares de calçado,Sblocca tutte le {count} scarpe,Lås op for alle {count} sko,Ontgrendel alle {count} schoenen,靴を{count}足すべてアンロックしよう,신발 {count}개를 모두 잠금 해제하세요,{count} ayakkabının hepsini aç,Mở khóa tất cả {count} đôi giày,Buka semua {count} sepatu
ACHIEVEMENT_ISLAND_TITLE,Island {table}× mastery,Mistrovství ostrova {table}×,Majstrovstvo ostrova {table}×,Insel {table}× gemeistert,Maestría de la isla {table}×,Saaren {table}× hallinta,Maîtrise de l'île {table}×,Mestring av øya {table}×,Mistrzostwo wyspy {table}×,Behärska ön {table}×,Domínio da ilha do {table}×,Domínio da ilha do {table}×,Maestria dell'isola del {table}×,Mesterskab på {table}×-øen,Meesterschap op het {table}×-eiland,{table}×島をマスター,{table}× 섬 마스터,{table}× adası ustalığı,Làm chủ đảo {table}×,Penguasaan pulau {table}×
ACHIEVEMENT_ISLAND_DESC,Master every {table}× fact to 100 %,Zvládni všechny spoje {table}× na 100 %,Zvládni všetky spoje {table}× na 100 %,Meistere jede {table}×-Aufgabe zu 100 %,Domina todos los cálculos {table}× al 100 %,Hallitse kaikki {table}× laskut 100 %,Maîtrise chaque calcul {table}× à 100 %,Mestre alle {table}×-oppgavene til 100 %,Opanuj wszystkie działania {table}× na 100 %,Bemästra alla {table}×-tal till 100 %,Domine todas as contas do {table}× até 100 %,Domina todas as contas do {table}× até 100 %,Porta al 100 % ogni operazione del {table}×,Mestr alle {table}×-opgaver til 100 %,Beheers elke {table}×-som tot 100 %,{table}×のすべての計算を100 %にしよう,모든 {table}× 문제를 100 %까지 마스터하세요,Tüm {table}× işlemlerini %100'e çıkar,Làm chủ mọi phép tính {table}× đến 100 %,Kuasai semua soal {table}× hingga 100 %
REWARD_MASTERY_TITLE,What you improved,Co se ti zlepšilo,Čo sa ti zlepšilo,Das hast du verbessert,Lo que has mejorado,Mitä kehitit,Ce que tu as amélioré,Dette ble bedre,Co ci się poprawiło,Det här blev bättre,O que você melhorou,O que melhoraste,Cosa hai migliorato,Det har du forbedret,Wat je hebt verbeterd,上達したこと,향상된 내용,Geliştirdiklerin,Những gì bạn đã cải thiện,Yang kamu tingkatkan
REWARD_MASTERY_FACT,{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier},{table} × {multiplier}
REWARD_MASTERY_CHANGE,{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after},{before} → {after}
REWARD_MASTERY_GAIN,+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained},+{gained}
REWARD_ROUND,Round reward,Odměna za kolo,Odmena za kolo,Rundenbelohnung,Recompensa de la ronda,Kierroksen palkinto,Récompense de la partie,Rundebelønning,Nagroda za rundę,Omgångsbelöning,Recompensa da rodada,Recompensa da ronda,Premio del turno,Rundebelønning,Rondebeloning,ラウンド報酬,라운드 보상,Tur ödülü,Phần thưởng vòng chơi,Hadiah ronde
REWARD_MASTERY_BONUS,Mastery bonus,Bonus za mistrovství,Bonus za majstrovstvo,Meisterschafts-Bonus,Bono de maestría,Hallintabonus,Bonus de maîtrise,Mestringsbonus,Bonus za mistrzostwo,Bemästringsbonus,Bônus de domínio,Bónus de domínio,Bonus maestria,Mestringsbonus,Beheersingsbonus,習熟ボーナス,숙련도 보너스,Ustalık bonusu,Thưởng thành thạo,Bonus penguasaan
REWARD_ACHIEVEMENT_BONUS,Achievement bonus,Bonus za úspěch,Bonus za úspech,Erfolgs-Bonus,Bono de logro,Saavutusbonus,Bonus de succès,Bragdbonus,Bonus za osiągnięcie,Prestationsbonus,Bônus de conquista,Bónus de conquista,Bonus obiettivo,Præstationsbonus,Prestatiebonus,実績ボーナス,업적 보너스,Başarım bonusu,Thưởng thành tích,Bonus pencapaian
REWARD_TOTAL,Total reward,Celková odměna,Celková odmena,Gesamtbelohnung,Recompensa total,Palkinto yhteensä,Récompense totale,Total belønning,Nagroda łącznie,Total belöning,Recompensa total,Recompensa total,Premio totale,Samlet belønning,Totale beloning,報酬合計,총 보상,Toplam ödül,Tổng phần thưởng,Total hadiah
REWARD_XP_EARNED,Experience,Zkušenosti,Skúsenosti,Erfahrung,Experiencia,Kokemus,Expérience,Erfaring,Doświadczenie,Erfarenhet,Experiência,Experiência,Esperienza,Erfaring,Ervaring,経験値,경험치,Deneyim,Kinh nghiệm,Pengalaman
REWARD_COINS_GAIN,+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count},+{count}
APP_TAGLINE,Learn multiplication through play,Uč se násobilku hrou,Uč sa násobilku hrou,Lerne das Einmaleins spielend,Aprende las tablas jugando,Opi kertotaulut leikkien,Apprends les tables en jouant,Lær gangetabellen gjennom lek,Ucz się tabliczki mnożenia przez zabawę,Lär dig multiplikation genom lek,Aprenda multiplicação brincando,Aprende multiplicação a jogar,Impara le moltiplicazioni giocando,Lær multiplikation gennem leg,Leer vermenigvuldigen door te spelen,遊びながらかけ算を学ぼう,놀이로 곱셈을 배워요,Oynayarak çarpma öğren,Học phép nhân qua trò chơi,Belajar perkalian sambil bermain
HOME_PROFILE,Local learner,Místní hráč,Miestny hráč,Spieler auf diesem Gerät,Jugador local,Paikallinen pelaaja,Joueur local,Lokal spiller,Gracz lokalny,Lokal spelare,Estudante local,Aluno local,Studente locale,Lokal elev,Lokale leerling,この端末の学習者,기기 내 학습자,Yerel öğrenci,Người học trên thiết bị,Pelajar lokal
HOME_PROGRESS,Current table: ×{table} · Mastered facts: {mastered}/80,Aktuální násobilka: ×{table} · Zvládnuté spoje: {mastered}/80,Aktuálna násobilka: ×{table} · Zvládnuté spoje: {mastered}/80,Aktuelle Reihe: ×{table} · Gemeisterte Aufgaben: {mastered}/80,Tabla actual: ×{table} · Cálculos dominados: {mastered}/80,Nykyinen taulu: ×{table} · Hallitut laskut: {mastered}/80,Table actuelle : ×{table} · Calculs maîtrisés : {mastered}/80,Gjeldende tabell: ×{table} · Mestrede oppgaver: {mastered}/80,Aktualna tabliczka: ×{table} · Opanowane działania: {mastered}/80,Aktuell tabell: ×{table} · Bemästrade tal: {mastered}/80,Tabuada atual: ×{table} · Contas dominadas: {mastered}/80,Tabuada atual: ×{table} · Contas dominadas: {mastered}/80,Tabellina attuale: ×{table} · Operazioni imparate: {mastered}/80,Aktuel tabel: ×{table} · Lærte opgaver: {mastered}/80,Huidige tafel: ×{table} · Beheerste sommen: {mastered}/80,現在の段：×{table}・マスターした計算：{mastered}/80,현재 단: ×{table} · 마스터한 문제: {mastered}/80,Mevcut tablo: ×{table} · Öğrenilen işlemler: {mastered}/80,Bảng hiện tại: ×{table} · Phép tính đã thành thạo: {mastered}/80,Tabel saat ini: ×{table} · Soal dikuasai: {mastered}/80
HOME_PLAY,Play,Hrát,Hrať,Spielen,Jugar,Pelaa,Jouer,Spill,Graj,Spela,Jogar,Jogar,Gioca,Spil,Spelen,プレイ,플레이,Oyna,Chơi,Main
HOME_PRACTICE,Practice,Procvičovat,Precvičovať,Üben,Practicar,Harjoittele,S'entraîner,Øv,Ćwicz,Öva,Praticar,Praticar,Allenamento,Øv,Oefenen,練習,연습,Alıştırma,Luyện tập,Latihan
PRACTICE_SETUP_TITLE,Practice,Procvičování,Precvičovanie,Üben,Práctica,Harjoittelu,Entraînement,Øving,Ćwiczenie,Övning,Praticar,Praticar,Allenamento,Øv,Oefenen,練習,연습,Alıştırma,Luyện tập,Latihan
PRACTICE_SETUP_QUESTION_COUNT,Number of questions,Počet příkladů,Počet príkladov,Anzahl der Aufgaben,Número de ejercicios,Tehtävien määrä,Nombre de calculs,Antall oppgaver,Liczba zadań,Antal uppgifter,Número de perguntas,Número de perguntas,Numero di domande,Antal spørgsmål,Aantal vragen,問題数,문제 수,Soru sayısı,Số câu hỏi,Jumlah soal
PRACTICE_SETUP_TABLES,Multiplication tables,Násobilky,Násobilky,Einmaleinsreihen,Tablas de multiplicar,Kertotaulut,Tables de multiplication,Gangetabeller,Tabliczka mnożenia,Multiplikationstabeller,Tabuadas,Tabuadas,Tabelline,Gangetabeller,Tafels,九九の段,곱셈표,Çarpım tabloları,Bảng cửu chương,Tabel perkalian
PRACTICE_SETUP_START,Start practice,Začít procvičování,Začať precvičovanie,Übung starten,Empezar práctica,Aloita harjoittelu,Commencer l'entraînement,Start øving,Zacznij ćwiczenie,Börja öva,Começar a praticar,Começar a praticar,Inizia l'allenamento,Start øvelsen,Begin met oefenen,練習を始める,연습 시작,Alıştırmayı başlat,Bắt đầu luyện tập,Mulai latihan
PRACTICE_SETUP_BACK,Back to the previous screen,Zpět na předchozí obrazovku,Späť na predchádzajúcu obrazovku,Zurück zum vorherigen Bildschirm,Volver a la pantalla anterior,Palaa edelliselle sivulle,Retour à l'écran précédent,Tilbake til forrige skjerm,Wróć do poprzedniego ekranu,Tillbaka till föregående skärm,Voltar à tela anterior,Voltar ao ecrã anterior,Torna alla schermata precedente,Tilbage til forrige skærm,Terug naar het vorige scherm,前の画面に戻る,이전 화면으로 돌아가기,Önceki ekrana dön,Quay lại màn hình trước,Kembali ke layar sebelumnya
PRACTICE_SETUP_SMART_HINT,No tables selected means smart review of all completed tables.,Bez výběru se chytře procvičí všechny dokončené násobilky.,Bez výberu sa múdro precvičia všetky dokončené násobilky.,Ohne Auswahl werden alle abgeschlossenen Reihen gezielt geübt.,Sin selección se repasan de forma inteligente todas las tablas completadas.,Ilman valintaa kaikki suoritetut kertotaulut kerrataan älykkäästi.,Sans sélection toutes les tables terminées sont révisées intelligemment.,Uten valg øves alle fullførte tabeller smart.,Bez wyboru wszystkie ukończone tabliczki są inteligentnie powtarzane.,Utan val övas alla avklarade tabeller smart.,Nenhuma tabuada selecionada faz uma revisão inteligente de todas as tabuadas concluídas.,Sem tabuadas selecionadas fazes uma revisão inteligente de todas as tabuadas concluídas.,Se non selezioni tabelline ripasserai in modo intelligente tutte quelle completate.,Ingen valgte tabeller giver smart repetition af alle gennemførte tabeller.,Als je geen tafels kiest krijg je een slimme herhaling van alle voltooide tafels.,段を選ばないとクリア済みのすべての段をかしこく復習します。,단을 선택하지 않으면 완료한 모든 단을 맞춤 복습합니다.,Tablo seçmezsen tamamladığın tüm tablolar akıllıca tekrar edilir.,Không chọn bảng nào sẽ ôn tập thông minh tất cả các bảng đã hoàn thành.,Jika tidak ada tabel yang dipilih semua tabel selesai akan ditinjau secara cerdas.
PRACTICE_SETUP_BALANCED_HINT,{count} tables selected. They will be mixed evenly.,Vybrané násobilky: {count}. Budou se rovnoměrně střídat.,Vybrané násobilky: {count}. Budú sa rovnomerne striedať.,{count} Reihen ausgewählt. Sie werden gleichmäßig gemischt.,{count} tablas seleccionadas. Se mezclarán por igual.,{count} kertotaulua valittu. Niitä sekoitetaan tasaisesti.,{count} tables sélectionnées. Elles seront mélangées équitablement.,{count} tabeller valgt. De blandes jevnt.,Wybrane tabliczki: {count}. Będą równomiernie mieszane.,{count} tabeller valda. De blandas jämnt.,{count} tabuadas selecionadas. Elas serão misturadas igualmente.,{count} tabuadas selecionadas. Serão misturadas por igual.,{count} tabelline selezionate. Saranno mescolate in parti uguali.,{count} tabeller valgt. De blandes jævnt.,{count} tafels gekozen. Ze worden gelijkmatig gemengd.,{count}個の段を選びました。均等に出題します。,{count}개 단을 선택했습니다. 고르게 섞어 출제합니다.,{count} tablo seçildi. Eşit şekilde karıştırılacaklar.,Đã chọn {count} bảng. Các bảng sẽ được trộn đều.,{count} tabel dipilih. Semuanya akan dicampur merata.
PRACTICE_SETUP_TABLE_READY,{table}× is available for practice,{table}× je k dispozici k procvičování,{table}× je k dispozícii na precvičovanie,{table}× kann geübt werden,{table}× está disponible para practicar,{table}× on käytettävissä harjoitteluun,{table}× est disponible pour l'entraînement,{table}× kan øves,{table}× jest dostępne do ćwiczenia,{table}× kan övas,{table}× está disponível para praticar,{table}× está disponível para praticar,Il {table}× è disponibile per allenarti,{table}× kan øves,{table}× is beschikbaar om te oefenen,{table}×を練習できます,{table}× 단을 연습할 수 있습니다,{table}× alıştırma için hazır,Bảng {table}× đã sẵn sàng để luyện tập,{table}× tersedia untuk latihan
PRACTICE_SETUP_TABLE_LOCKED,Complete {table}× to use it in practice,Dokonči {table}× pro volné procvičování,Dokonči {table}× pre voľné precvičovanie,Schließe {table}× ab um es zu üben,Completa {table}× para practicarla,Suorita {table}× käyttääksesi sitä harjoittelussa,Termine {table}× pour l'utiliser à l'entraînement,Fullfør {table}× for å øve den,Ukończ {table}× aby ją ćwiczyć,Klara {table}× för att öva den,Conclua {table}× para usar na prática,Conclui {table}× para a usares na prática,Completa il {table}× per usarlo nell'allenamento,Gennemfør {table}× for at øve den,Voltooi {table}× om deze te oefenen,{table}×をクリアすると練習できます,{table}× 단을 완료하면 연습할 수 있습니다,Alıştırmada kullanmak için {table}× tablosunu tamamla,Hoàn thành bảng {table}× để dùng trong luyện tập,Selesaikan {table}× untuk menggunakannya dalam latihan
HOME_STATUS_READY,Ready for a short practice session.,Připraveno na krátké procvičování.,Pripravené na krátke precvičovanie.,Bereit für eine kurze Übung.,Listo para practicar un rato.,Valmiina lyhyeen harjoitukseen.,Prêt pour un petit entraînement.,Klar for en kort økt.,Gotowe na krótkie ćwiczenie.,Redo för en kort övning.,Tudo pronto para uma prática rápida.,Tudo pronto para uma sessão curta de prática.,Tutto pronto per un breve allenamento.,Klar til en kort øvelse.,Klaar voor een korte oefensessie.,短い練習を始められます。,짧은 연습을 시작할 준비가 됐어요.,Kısa bir alıştırma seansına hazırsın.,Sẵn sàng cho một lượt luyện tập ngắn.,Siap untuk sesi latihan singkat.
HOME_STATUS_SESSION,A {count}-question session is ready.,Je připravena hra s {count} příklady.,Je pripravená hra s {count} príkladmi.,Eine Runde mit {count} Aufgaben ist bereit.,Hay una ronda de {count} ejercicios lista.,{count} tehtävän kierros on valmiina.,Une partie de {count} calculs est prête.,En runde med {count} oppgaver er klar.,Runda z {count} zadaniami jest gotowa.,En omgång med {count} uppgifter är redo.,Uma sessão de {count} perguntas está pronta.,Está pronta uma sessão de {count} perguntas.,È pronta una sessione di {count} domande.,En øvelse med {count} spørgsmål er klar.,Er staat een sessie van {count} vragen klaar.,{count}問のセッションを始められます。,{count}문제 세션이 준비됐어요.,{count} soruluk seans hazır.,Một lượt gồm {count} câu hỏi đã sẵn sàng.,Sesi {count} soal sudah siap.
HOME_PRIVACY,Progress stays on this device.,Pokrok zůstává v tomto zařízení.,Pokrok zostáva v tomto zariadení.,Der Fortschritt bleibt auf diesem Gerät.,El progreso se queda en este dispositivo.,Edistyminen pysyy tällä laitteella.,La progression reste sur cet appareil.,Fremgangen blir på denne enheten.,Postęp zostaje na tym urządzeniu.,Framstegen stannar på den här enheten.,O progresso fica neste dispositivo.,O progresso fica neste dispositivo.,I progressi restano su questo dispositivo.,Fremskridt bliver på denne enhed.,Je voortgang blijft op dit apparaat.,進み具合はこの端末に保存されます。,진행 상황은 이 기기에 저장됩니다.,İlerlemen bu cihazda kalır.,Tiến trình được lưu trên thiết bị này.,Progres tersimpan di perangkat ini.
LANGUAGE_LABEL,Language,Jazyk,Jazyk,Sprache,Idioma,Kieli,Langue,Språk,Język,Språk,Idioma,Idioma,Lingua,Sprog,Taal,言語,언어,Dil,Ngôn ngữ,Bahasa
LANGUAGE_SYSTEM,System language,Jazyk systému,Jazyk systému,Systemsprache,Idioma del sistema,Järjestelmän kieli,Langue du système,Systemspråk,Język systemu,Systemspråk,Idioma do sistema,Idioma do sistema,Lingua di sistema,Systemsprog,Systeemtaal,システムの言語,시스템 언어,Sistem dili,Ngôn ngữ hệ thống,Bahasa sistem
